parameter,value,avg_cycle_time,throughput
batch_size,1,44.86891385767794,89
batch_size,3,81.04761904761902,126
batch_size,5,97.94444444444467,120
batch_size,7,108.19047619047633,147
batch_size,9,115.69230769230832,117
batch_size,11,120.16666666666733,176
batch_size,13,124.44444444444494,117
batch_size,15,127.20000000000087,150
batch_size,17,126.93333333333557,170
batch_size,19,127.39393939394236,209
num_pickers,1,91.33333333333343,136
num_pickers,2,92.04761904761911,112
num_pickers,3,92.2666666666669,120
num_pickers,4,91.30864197530884,108
num_pickers,5,91.30864197530873,108
num_pickers,6,92.43010752688183,124
num_pickers,8,92.58333333333354,128
num_pickers,10,91.35238095238107,140
order_size,50,86.29333333333328,50
order_size,100,90.72000000000018,100
order_size,200,92.58333333333354,128
order_size,500,91.33333333333356,136
order_size,1000,91.30864197530893,108
